id;nhogar;miembro;comuna;dominio;edad;sexo;parentes_2;p5_2;p6_a;p6_b;estado;categori;t13;t14;t18;t28;t29;t29a;t30;sem_hs;t33;t34;t35;t37_cod_2;t37_coda_2;t38;t39;t40;t41_cod_2;t47;t48;t51_bis;i1;i4;i6_3;i10;i11;codioph;ioph_2;codioph_neto;ioph_neto_2;codios;ios_2;codioa;ioa_2;codlab;inglab_2;codi3_1x;i3_1x_2;codi3_2x;i3_2x_2;codi3_8x;i3_8x_2;codi3_est;i3_est_2;codi3_otr;i3_otr_2;codnolab;ingnolab_2;coding;ingtot_2;codi_tot;itfb_2;ipcfb_2;e2;e4;e6;e8;e12;e13;e14;edad_30;nivel;aesc;m1;m1_2;m2_anio;m3_anio;tipcob2_2;sn1_1;sn1_7;sn1_2;sn1_3;sn1_4;sn1_5;s2;sn2;sn2_cant;sn4;sn5;sn16;s28;s29;fexp
1276;1;1;13;4;36;1;1;1;0;0;1;3;0;0;0;0;0;0;1;45.00;2;0;2;6800;5;2;2;4;20331;0;0;1;1;0;2;0;0;9;19000;9;19000;0;0;2;0;9;19000;2;0;9;6000;2;0;2;0;2;0;9;6000;9;25000;9;55000;27500;2;0;0;0;13;1;0;36;7;17;1;1;0;2007;3;2;1;2;2;2;2;1;1;1;3;7;2;0;0;242
1276;1;2;13;4;35;2;2;1;0;0;1;3;0;0;0;0;0;0;2;39.00;2;0;2;8501;7;1;3;4;80332;0;0;1;1;0;2;0;0;9;15000;9;15000;1;5000;2;0;9;20000;2;0;9;10000;2;0;2;0;2;0;9;10000;9;30000;9;55000;27500;2;0;0;0;13;1;0;35;7;17;6;6;0;2017;3;2;1;2;2;2;2;1;2;0;1;6;2;2;0;242
1277;1;1;12;4;36;1;1;1;0;0;1;3;0;0;0;0;0;0;2;45.00;2;0;1;8501;7;2;2;4;41332;0;0;1;1;0;2;0;0;1;15000;1;15000;9;1000;2;0;9;16000;2;0;2;0;2;0;2;0;2;0;2;0;9;16000;9;41000;13667;2;0;0;0;13;1;0;35;7;17;1;1;0;1;3;2;1;2;2;2;2;1;1;2;3;7;2;0;0;505
1277;1;2;12;4;37;2;2;1;0;0;1;3;0;0;0;0;0;0;2;44.00;2;0;2;8401;6;1;2;4;46331;0;0;1;1;0;2;0;0;1;22000;1;22000;1;3000;2;0;1;25000;2;0;2;0;2;0;2;0;2;0;2;0;1;25000;9;41000;13667;2;0;0;0;14;1;0;37;7;19;1;1;0;1;3;2;1;2;2;2;2;1;1;1;1;6;3;1;1;505
1277;1;3;12;4;6;1;3;0;1;2;3;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;41000;13667;1;1;2;0;0;0;0;5;1;0;1;1;0;1;3;2;1;2;2;2;2;1;2;0;3;7;2;0;0;505
1278;1;1;12;4;36;1;1;2;0;0;1;1;0;0;0;0;0;0;1;50.00;2;0;2;6200;5;2;2;3;6001;2;0;0;0;0;0;1;1;1;40000;1;40000;0;0;2;0;1;40000;2;0;2;0;2;0;2;0;2;0;2;0;1;40000;1;130000;65000;2;0;0;0;13;1;0;36;7;17;1;1;0;1;5;1;2;2;2;1;2;1;1;2;3;7;2;0;0;148
1278;1;2;12;4;36;2;2;2;0;0;1;3;0;0;0;0;0;0;1;50.00;2;0;2;6200;5;2;2;4;43331;0;0;1;1;0;2;0;0;1;90000;1;90000;0;0;2;0;1;90000;2;0;2;0;2;0;2;0;2;0;2;0;1;90000;1;130000;65000;2;0;0;0;13;1;0;36;7;17;1;1;0;2010;5;1;2;2;2;1;2;1;1;1;3;7;1;2;0;148
1279;1;1;8;4;36;1;1;2;0;0;1;3;0;0;0;0;0;0;1;48.00;2;0;2;8401;6;1;2;4;34323;0;0;1;1;0;2;0;0;1;36200;1;36200;0;0;2;0;1;36200;2;0;2;0;2;0;2;0;2;0;2;0;1;36200;1;36200;18100;2;0;0;0;13;2;10;36;6;12;1;1;0;2014;3;2;1;2;2;2;2;1;1;1;3;6;1;0;0;52
1279;1;2;8;4;35;2;2;2;0;0;2;0;0;0;1;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;1;36200;18100;1;1;13;1;0;0;0;35;6;12;1;1;0;2014;3;2;1;2;2;2;2;1;1;7;1;6;1;2;0;52
1280;1;1;10;4;36;2;1;6;0;0;1;3;0;0;0;0;0;0;1;45.00;2;0;2;5800;5;2;2;4;80332;0;0;1;1;0;2;0;0;1;14200;1;14200;0;0;2;0;1;14200;2;0;2;0;2;0;2;0;2;0;2;0;1;14200;1;14200;14200;2;0;0;0;13;1;0;36;7;17;6;6;0;2015;2;1;2;2;2;2;2;1;1;3;3;5;3;2;0;201
1281;1;1;5;4;36;1;1;6;0;0;1;3;0;0;0;0;0;0;1;20.00;2;0;2;5800;5;2;2;3;80332;0;0;1;1;0;2;0;0;1;15000;1;15000;0;0;1;4500;1;19500;2;0;1;5000;1;1200;2;0;2;0;1;6200;1;25700;1;39700;19850;2;0;0;0;13;1;0;35;7;17;6;6;0;1988;2;1;2;2;2;2;2;1;1;1;1;5;4;0;0;237
1281;1;2;5;4;28;1;8;6;0;0;1;1;0;0;0;0;0;0;1;40.00;2;0;2;4807;3;2;2;3;6001;2;0;0;0;0;0;1;1;1;14000;1;14000;0;0;2;0;1;14000;2;0;2;0;2;0;2;0;2;0;2;0;1;14000;1;39700;19850;2;0;0;0;7;1;0;28;5;12;5;5;2015;2015;1;2;2;2;2;2;2;3;2;0;1;1;4;0;0;237
1282;1;1;7;4;36;2;1;2;0;0;1;3;0;0;0;0;0;0;1;40.00;2;0;2;4811;3;2;2;4;10332;0;0;1;1;0;2;0;0;9;18000;9;18000;0;0;2;0;9;18000;2;0;2;0;2;0;2;0;9;30000;9;30000;9;48000;9;71000;23667;2;0;0;0;13;1;0;36;7;17;2;2;0;1998;3;2;1;2;2;2;2;1;1;2;1;6;2;1;1;303
1282;1;2;7;4;37;1;2;2;0;0;1;3;0;0;0;0;0;0;1;45.00;2;0;2;4503;3;2;2;3;30202;0;0;1;1;0;2;0;0;1;23000;1;23000;0;0;2;0;1;23000;2;0;2;0;2;0;2;0;2;0;2;0;1;23000;9;71000;23667;2;0;0;0;12;1;0;37;7;15;2;2;0;1998;3;2;1;2;2;2;2;1;1;1;3;6;3;0;0;303
1282;1;3;7;4;2;2;3;0;2;1;3;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;71000;23667;1;3;16;0;0;0;0;2;1;0;1;1;0;1;3;2;1;2;2;2;2;2;2;0;3;7;1;0;0;303
