id;nhogar;comuna;dominio;v2_2;v4;h2;h3;hacinam_2;tipoho;fexp
141;1;1;3;1;2;2;2;1;1;59
142;1;4;4;2;2;2;2;1;2;195
143;1;4;4;2;1;2;1;2;3;195
144;1;1;3;1;2;3;2;2;3;61
145;1;2;4;2;1;2;1;2;2;124
146;1;5;4;2;2;2;2;1;3;341
147;1;1;4;2;1;2;1;1;1;293
148;1;1;4;10;1;2;1;1;1;89
149;1;15;4;2;2;3;2;1;1;255
150;1;9;4;2;2;2;2;1;1;94
151;1;3;4;2;1;2;1;2;2;384
152;1;3;4;2;2;2;2;1;2;260
153;1;2;4;2;3;2;3;1;7;186
154;1;1;4;2;1;2;1;1;1;167
155;1;2;4;2;5;2;5;1;7;168
156;1;2;4;2;3;3;3;1;7;155
157;1;2;4;2;2;1;2;1;7;139
158;1;3;4;2;1;2;1;2;5;293
159;1;4;4;2;1;2;1;1;1;124
160;1;14;4;2;2;2;2;1;1;550
161;1;13;4;2;2;1;2;1;1;1243
162;1;13;4;2;1;3;1;1;1;311
163;1;3;4;2;2;2;2;1;3;152
164;1;15;4;2;2;3;2;1;1;92
165;1;5;4;2;2;2;2;1;3;197
166;1;2;4;2;1;2;1;1;1;209
167;1;14;4;2;3;2;3;1;1;350
168;1;2;4;2;1;2;1;2;7;121
169;1;2;4;2;2;1;2;1;1;250
170;1;9;3;1;5;1;5;1;7;25
171;1;2;4;2;2;2;2;1;1;305
172;1;4;4;2;2;2;2;1;1;191
173;1;7;3;1;1;3;1;2;6;91
174;1;1;3;1;3;3;3;1;6;60
175;1;7;4;2;1;2;1;2;3;189
176;1;7;4;2;3;2;3;1;7;237
177;1;10;4;1;3;1;3;1;5;231
178;1;15;4;1;3;3;3;1;5;320
179;1;1;4;2;2;2;2;2;3;159
180;1;11;4;2;2;2;2;1;1;270
181;1;2;4;2;2;2;2;1;3;205
182;1;3;4;10;1;2;1;1;1;304
183;1;8;3;1;3;2;3;2;3;156
184;1;13;4;2;3;2;1;2;3;450
185;1;8;4;2;2;2;2;1;3;130
186;1;15;4;2;2;3;2;1;1;335
187;1;2;4;2;3;2;3;1;1;257
188;1;12;4;2;2;2;2;1;1;295
189;1;14;4;2;1;2;1;1;1;344
190;1;11;4;2;2;2;2;1;1;358
191;1;5;4;2;3;2;3;1;3;310
192;1;7;4;2;1;2;1;1;1;315
193;1;1;3;2;2;3;2;1;1;60
194;1;2;4;2;1;3;1;1;1;285
195;1;6;4;2;5;1;5;1;3;322
196;1;10;4;2;2;2;2;1;1;197
197;1;3;4;2;1;2;1;1;1;340
198;1;7;4;2;2;1;2;1;7;280
199;1;10;4;1;3;3;3;1;6;232
200;1;5;4;2;2;2;2;1;3;219
201;1;10;4;2;3;2;3;1;2;145
202;1;8;4;1;4;1;4;1;7;91
203;1;13;4;2;1;2;1;1;1;295
204;1;4;4;2;3;2;3;1;1;189
205;1;6;4;2;1;2;1;1;1;189
206;1;2;4;2;3;2;3;1;7;117
